"","ID","R1","R2","R3","R4","R5","R6","R7","R8","R9","M1","M2","M3","M4","M5","M6","M7","M8","M9","S2","S3","S4","S5","S6","S7","S8","S9","T1","T2","T3","T4","T5","T6","T7","T8","T9","SEX","RACE","LOCALE","INCOME","SCHOOL_TYPE","Approach_to_Learning","Self_control","Interpersonal","External_prob_Behavior","Internal_prob_Behavior","Attention_focus","Inhibitory_Ctrl","EDU"
"5061","10005062",51.3495,63.7733,64.8172,71.8604,78.4227,88.5139,106.1452,113.5771,105.5387,26.2458,43.1317,48.544,52.3974,71.0543,73.3928,90.8599,97.57,96.787,23.8481,19.7298,27.3152,31.5928,35.5991,39.154,52.9214,49.6759,66.64,72.85,78.77,84.49,90.51,97.45,108.3,120.33,133.25,1,3,1,2,1,3.8571,2.75,4,1.6,1.5,6.1667,6.5,3
"5089","10005090",46.4771,44.5491,60.5134,60.6193,76.3667,88.5389,100.5774,111.7904,114.9333,22.4096,30.074,38.1137,53.78,60.493,64.3641,75.755,75.3409,90.8776,22.0559,24.9359,28.0801,32.1166,27.0529,48.1488,53.9333,52.3162,59.51,65,71.7,78.08,83.64,90.08,100.41,112.47,123.48,2,3,2,3,1,3,3.5,3,1,1.5,6,6.1667,3
"5159","10005160",100.7565,124.2405,109.6825,123.1613,130.0198,128.3888,139.6279,150.3674,157.9628,65.5561,71.6212,84.7983,111.6264,109.3849,125.4048,130.8004,134.721,137.9627,51.7993,51.0426,56.5831,67.4302,74.2424,75.0317,87.1379,89.592,70.26,74.04,80.65,87.29,92.78,98.76,111.09,123.16,134.1,2,1,4,18,2,4,4,4,1,1,6.6667,6.6667,8
"5186","10005187",62.0101,78.6497,98.0746,107.3046,126.1289,134.0796,130.2506,140.7406,154.5249,79.1947,86.2393,99.3495,100.5569,107.2947,123.3687,133.6117,136.4471,145.2993,38.7741,41.3145,55.5267,57.5069,67.6462,76.6327,83.8387,89.6468,69.99,76.67,80.75,88.14,93.86,100.93,111.62,124.57,136.64,1,1,2,18,1,3.8571,3.5,3.4,1.6,1.5,5.5,6.5,8
"5267","10005268",56.7868,81.984,72.2357,109.8189,115.9823,123.8943,141.4018,145.4557,153.2684,60.1146,65.0303,80.4314,90.4597,103.0178,109.1462,121.0715,134.0354,140.93,38.4647,48.4305,47.2569,48.8306,53.5331,69.2159,74.4984,77.1664,74.33,80.12,83.74,91.86,97.78,104.25,115.36,127.36,138.38,2,1,4,12,1,2.5714,2.6667,3,1,1.75,5.6667,5.6,5
"5280","10005281",68.1642,96.0789,120.4915,110.7992,118.0129,135.15,134.6242,139.3105,141.3327,43.8963,43.0066,61.9519,70.828,78.7155,89.0887,110.4433,114.9117,125.6312,32.8315,37.245,47.4274,45.5528,58.2084,67.9477,72.0278,76.8021,68.94,75.58,81.17,87.62,92.84,99.52,111.16,122.2,134.1,1,1,3,15,1,3.1429,3.5,2.6,1.4,1,4.8,4.6,6
"5286","10005287",64.9375,70.5815,71.8901,81.0616,66.6206,79.4205,84.7496,89.1974,102.7855,38.5271,60.5599,60.0208,72.8047,74.6726,84.8412,88.9596,95.5434,113.0981,43.9716,39.0901,48.6516,50.4723,49.7611,52.8456,58.9247,67.8854,77.75,84.53,89.36,96.03,103.13,108.95,119.51,132.49,143.47,2,1,4,9,1,3.1429,3.25,3.2,1.4,2,5,5,2
"5319","10005320",51.9445,53.4339,68.7632,82.3299,86.4921,108.6232,121.3743,124.0353,133.88,19.9626,51.977,56.8428,70.4145,79.7702,95.3808,104.6387,110.3643,118.3869,38.3759,37.6625,43.9478,43.7488,39.2743,54.9045,72.1257,76.1765,71.97,77.98,84.56,89.88,95.67,101.85,113.1,125.06,138.08,1,1,2,18,2,2.2857,2.75,2.5,1.4,1.75,5.6667,3.3333,8
"5383","10005384",69.702,85.9343,95.2614,102.1114,114.0275,117.2932,131.1799,132.7824,140.1196,35.025,56.0472,62.0421,68.3602,85.369,94.7996,107.1743,123.1783,126.1469,26.1116,35.9095,50.6445,45.8069,51.4844,66.031,70.9421,78.9537,70.16,76.24,80.55,86.96,92.25,98.93,111.65,122.7,134.66,1,3,4,5,1,2.8571,2.75,2.2,1.8,1.75,6.3333,6.2,3
"5391","10005392",51.4837,64.0476,73.8273,95.0018,113.1177,112.6171,119.0609,132.1047,142.8219,38.6426,44.8278,52.7557,65.9862,61.1831,88.6137,103.8783,110.9496,122.9045,33.5191,34.2277,45.1589,47.9116,55.5021,62.7635,69.3839,80.0664,72.26,77.65,82.88,89.29,94.59,100.8,114.05,126.05,136.08,1,1,2,10,1,2.5714,3,3.4,1.4,1.25,4.3333,4,3
"5400","10005401",43.9108,58.1628,63.7715,79.1821,94.1694,109.2632,115.4065,122.9128,133.2252,20.0554,32.8527,45.6204,56.3818,65.7513,73.145,89.2986,82.7475,103.5163,33.1813,21.0424,40.0868,38.0256,44.4495,57.6863,72.1158,69.2714,60.43,66.25,71.47,79.79,85.55,92.61,104.52,115.59,125.56,2,3,2,15,2,4,3.6667,3.4,1,1.25,6.3333,6,5
"5409","10005410",55.8631,66.9766,76.0358,89.1642,98.8656,110.4535,110.2991,122.2699,120.8277,35.1224,47.4601,60.0924,65.8947,70.479,76.5862,91.2976,100.2003,115.6461,31.8847,37.0345,32.6727,39.3813,48.8124,52.7505,59.6139,61.4595,66.61,71.38,78.97,84.46,89.79,95.51,108.49,120.49,130.52,2,7,3,2,1,3.1429,3.25,3.4,1.4,2,5.8333,5.1667,4
"5439","10005440",64.0779,69.0045,96.6402,113.7256,123.0476,127.3469,130.9705,129.0207,145.1102,43.1031,52.9623,72.5246,83.7905,87.7423,108.2473,107.7771,107.4676,126.8218,35.7314,48.0485,54.0465,61.3175,62.5803,72.7893,73.8985,86.2953,61.84,68.02,73.78,79.82,84.79,91.92,102.08,116.02,127.04,2,3,2,16,1,4,4,4,1,1,6.6,5.8,5
"5456","10005457",55.2846,64.8467,77.3832,110.7388,122.7347,117.3612,127.7936,148.0919,147.8128,39.3343,50.1829,66.3188,71.5039,73.9364,77.0134,114.2825,119.3275,125.37,39.2176,47.4515,56.6408,58.72,61.1729,74.8198,81.7407,86.5859,70.16,75.65,82.75,89.16,93.99,100.31,112.01,123.98,135.98,1,1,2,17,1,3.7143,3.5,3.2,1.6,1.25,5.6,5,8
"5491","10005492",59.4433,80.7966,95.676,106.7866,105.8898,122.712,115.8598,139.6431,149.1072,35.4711,51.502,62.9123,69.7762,71.9255,96.5243,108.4911,110.6593,127.6407,33.1434,30.5971,36.8144,39.5298,47.004,58.3905,67.5203,79.3469,59.54,64.11,70.19,76.37,82.55,88.24,99.55,113.52,124.57,1,1,2,15,2,3.4286,3,3.6,2,1,5,5.2,8
"5517","10005518",51.5081,50.1867,84.283,101.0217,114.3858,115.7117,128.5817,144.8195,155.0036,26.7009,40.6417,65.7331,65.1466,69.5273,103.9972,108.8467,115.1163,131.4751,20.5737,30.0402,32.5117,37.3034,49.7307,51.2787,68.2607,77.201,67.46,73.48,79.69,85.68,91.17,98.33,107.28,121.25,134.2,2,3,1,10,1,3.4286,3.5,2.8,2.2,1.25,5.6667,5.5,6
"5531","10005532",70.74,81.2057,86.775,114.3074,122.0574,130.2273,133.6632,135.3716,146.3945,51.6439,69.406,75.2258,85.7738,104.6312,103.6681,113.0122,128.1772,133.5187,38.1824,42.3445,56.4966,63.27,60.8678,65.8482,70.0032,88.2387,72.72,79.96,84,90.02,96.89,103.13,114.38,127.36,140.42,1,1,2,16,2,3.1429,3,2.5,2,1,5.3333,5.75,8
"5573","10005574",52.218,67.7194,69.1523,92.4059,103.2304,114.8064,128.178,132.5383,149.4502,44.9469,55.8406,47.0664,67.6575,70.2689,85.5061,95.931,107.6712,114.2886,47.3324,49.112,50.1811,49.5078,65.7668,70.8553,74.1271,86.1506,74.4,79.23,84.95,90.64,96.72,103.17,117.07,128.05,138.15,2,1,4,16,1,2,2.6667,2.6,1,1.25,4.2,4.8,6
"5584","10005585",52.9844,65.1142,100.8565,97.2679,121.5108,110.1741,114.0785,136.8487,153.6451,26.6194,46.1156,50.7601,70.3612,81.8952,88.9036,94.4012,124.4785,132.6376,27.2067,23.3741,40.9136,41.2894,42.9155,52.5899,65.4426,83.2117,61.71,67.76,73.91,80.09,85.61,91.86,105.34,116.38,128.32,2,2,2,16,1,3.2857,3.25,3.4,1,1.5,6.3333,6.1667,8
"5628","10005629",58.007,67.1709,75.8526,100.7365,108.8723,117.5368,138.6349,147.8622,149.9981,38.0873,50.0492,53.9976,70.6026,85.7014,94.8155,112.8812,118.1789,122.3224,44.3908,49.4422,53.9637,64.156,62.5165,76.6279,84.8316,89.7286,71.31,77.36,83.31,89.72,95.24,102.15,114.18,125.26,137.23,2,1,2,17,2,3,3,3,1.2,1.25,5.5,5.8333,8
"5655","10005656",41.0064,57.2435,74.2704,89.042,94.1603,99.0023,104.1732,107.414,110.8663,20.3401,55.3422,57.7399,64.4693,62.2101,70.5941,114.575,109.8373,104.7405,22.7332,23.8758,19.4585,23.8823,33.9713,39.5034,44.1958,68.2439,68.48,74.47,80.98,87.55,92.15,98.86,110.6,121.61,135.52,1,3,2,5,1,2.8571,3,3.25,1.6,1.25,4.8333,3.8333,2
"5659","10005660",49.7386,66.1422,69.9633,82.1341,92.9107,125.209,133.0702,138.1252,144.013,21.7617,52.2875,60.1986,69.3041,80.5685,101.1209,106.5753,126.141,127.6137,26.7512,29.0214,41.9386,43.9017,65.6894,61.7215,69.802,87.5164,67.89,73.45,79.5,85.87,90.61,98.89,109.38,120.36,133.32,1,3,1,10,1,2.5714,3.25,2.8,1,2,5.5,6.2,5
"5709","10005710",62.4166,71.6483,74.3125,92.4237,91.3163,111.6146,116.5181,111.6292,133.2136,39.5508,66.6874,70.5463,84.7876,88.8584,105.6143,117.3272,122.8039,132.3363,38.1556,45.986,58.843,50.2324,58.6963,67.2662,67.67,72.3445,66.21,71.34,77.03,83.74,88.14,95.21,107.93,119.01,131.97,1,1,4,17,1,3.8571,4,3.8,1.25,1,6,6.2,3
"5797","10005798",52.5856,63.4459,71.5258,87.3776,90.9022,100.7115,111.5742,122.1522,112.5371,40.8721,51.4068,57.378,75.8927,73.7754,95.3927,113.7534,116.6963,116.8752,25.7888,29.7607,34.2637,41.457,38.4068,60.6328,55.8295,73.5414,66.12,71.34,77.33,83.87,89.26,95.74,107.57,120.46,131.51,2,3,2,8,1,3.1429,2.5,2.75,1,1.25,5.1667,5.1667,6
"5805","10005806",44.6633,64.8881,65.3288,80.0711,77.3595,97.901,104.9551,117.4517,113.5112,26.8394,53.4023,57.1937,67.7486,69.7153,88.291,92.6979,114.573,114.4126,28.1357,33.9813,42.8097,42.4018,50.517,66.5398,58.2269,62.6796,67.73,73.28,79.43,85.71,90.44,98.53,109.22,120.2,133.15,1,3,1,4,1,1.8571,2.25,2.4,2.2,2,2.5,3,2
"5824","10005825",56.6626,65.3731,78.79,91.3469,100.1344,117.3725,127.9644,141.9977,154.4446,41.792,57.4896,67.0233,87.0203,82.8012,110.2421,120.75,115.2883,137.618,55.2795,63.6222,67.0738,67.7154,69.1108,82.6007,81.4811,89.6362,69.57,75.52,81.53,87.78,93.47,99.22,110.79,122.79,134.83,1,1,1,16,1,3.4286,3.5,2.8,1,1.5,6.3333,6.25,6
"5872","10005873",48.4684,74.6091,72.9465,105.0215,99.3353,118.2683,130.2989,136.0588,146.9872,42.2148,62.2251,71.776,84.9737,96.8573,104.0338,112.7767,122.5909,129.6855,42.5627,34.2828,33.7736,44.6913,51.0479,45.6227,47.6376,56.3164,70.59,77.06,82.55,90.12,94.85,101.52,111.68,124.7,136.7,1,1,1,16,1,3.1429,3.25,2.6,1.4,1.75,5.5,6.1667,6
"5873","10005874",53.5434,64.7426,73.6981,93.1038,101.112,107.7068,118.9895,128.5571,130.2627,30.4719,36.7681,49.1622,53.9361,57.7934,70.8251,86.2128,104.2112,89.6628,21.7185,29.6883,35.8405,35.6522,41.1475,51.4101,55.7714,58.2362,64.41,69.93,76.83,82.52,87.85,93.37,106.75,116.81,130.82,2,3,1,5,1,3.5714,3.5,2.8,1.8,1.25,5,5.2,3
"5874","10005875",49.6331,62.3025,70.9203,72.0011,89.7195,98.176,97.7768,111.3257,116.5932,19.6792,31.3339,42.2602,53.0046,55.3183,64.7261,71.2671,88.4001,94.6286,21.6958,20.0767,22.2818,25.2579,37.4606,34.9794,38.7533,47.6724,66.61,72.59,78.84,84.79,90.25,97.45,109.38,120.36,133.32,1,3,1,1,1,2.4286,2.3333,1.8,2.8,1.25,2,2,1
"5889","10005890",60.166,64.1082,64.0325,83.9455,95.0667,106.0485,109.9073,115.1511,121.1494,44.4425,41.3524,46.0296,61.2454,66.0149,74.7331,84.4114,95.753,108.2866,30.7146,29.9222,31.5948,48.8007,49.8272,54.6737,62.2199,72.7332,62.7,67.59,72.46,79.56,85.22,91.46,102.51,114.51,127.43,1,1,4,10,1,3.2857,2.5,2.8,2.6,2,5.6667,4.8,4
"5943","10005944",69.0449,76.1683,76.5173,95.7274,96.7776,118.4613,129.4073,134.7168,147.0889,51.3719,56.2397,67.3823,76.8686,79.4275,93.5885,117.4295,125.0752,126.3527,33.529,39.0338,42.2202,49.7493,67.0633,62.9579,75.3657,79.8156,72,76.67,84.85,89.98,93.93,101.29,112.73,125.72,137.72,2,3,1,5,1,2.8571,3,2.6,1.4,1,5.3333,5.8333,5
"5989","10005990",108.0079,113.6028,117.5707,129.0143,127.8939,129.8118,144.0847,144.3436,153.2719,65.3952,66.7428,86.495,100.0339,98.4844,113.8467,131.9653,130.4067,136.9263,47.3356,55.4228,71.3984,68.12,73.5426,81.4782,87.96,89.6877,71.7,77,83.05,90.35,95.34,101.85,113.85,124.96,136.96,1,1,3,13,1,3.2857,3.5,3.2,1.4,1.75,5.6667,5.3333,6
"5991","10005992",48.8164,69.1452,64.6742,90.0012,104.4572,123.3774,130.0167,128.0794,141.0729,32.2646,43.3517,44.4335,65.1285,83.3552,107.2582,114.504,114.5831,118.2689,39.944,37.8252,52.1091,57.3413,58.2241,61.8928,68.4542,68.9756,65.56,72.2,77.29,85.58,91.4,97.35,108.39,120.33,133.35,1,3,4,15,1,2.7143,3.5,2.6,1,1,4.8333,5.3333,5
"5993","10005994",56.3792,65.6947,88.5849,108.5637,108.699,126.5565,133.202,135.2241,150.4974,45.2618,61.977,65.7252,88.336,76.0629,106.126,108.105,122.9931,128.0139,32.4706,35.4334,42.3631,46.6115,47.2971,62.7717,62.2494,67.5809,69.99,75.52,81.76,87.95,93.4,99.62,112.21,124.14,136.21,2,8,2,16,1,4,3.75,3.6,1,1.75,6,6.8333,4
"6009","10006010",56.7636,69.5652,79.3207,108.9916,114.6268,119.416,124.5149,137.4756,144.1227,48.4456,63.6826,67.5826,100.7962,101.3401,114.1235,125.6955,127.0791,138.5694,38.8652,46.3858,54.1885,59.8618,55.0784,64.7922,74.6738,84.2399,64.18,70.36,75.68,82.09,87.62,94.03,105.44,117.4,129.4,2,1,2,17,1,3.7143,2.5,3.2,1.6,1.5,4.1667,5.1667,6
"6010","10006011",44.9494,56.7819,65.3429,90.6119,95.3079,100.8315,120.4493,124.4667,136.6729,28.5684,37.4716,35.7677,65.2733,63.4463,78.0955,98.9991,117.5679,127.7928,30.2374,27.8227,33.2833,32.9741,51.595,51.5133,60.5556,69.389,61.74,66.64,71.9,77.85,83.15,89.82,103.79,113.75,125.75,2,1,1,16,1,2.1429,3,2.6,2.4,1,1.6667,3.3333,6
"6026","10006027",56.5877,80.7526,81.3056,108.8452,99.0561,115.2221,120.4472,143.7907,157.0852,60.3148,62.8391,72.8369,94.2562,99.0461,115.5327,119.6304,129.4518,135.5894,40.34,50.9419,65.6434,56.5658,67.5854,64.4186,85.6664,89.4925,69.93,75.02,80.09,87.95,91.59,98.24,111.48,123.39,135.42,1,5,1,17,1,4,4,4,1,1.25,6.5,6,8
"6070","10006071",53.3459,75.0891,79.6495,110.9312,109.2469,114.8288,124.9937,139.872,147.0233,45.9707,55.3829,53.3104,80.9918,83.928,110.1208,111.7575,117.1626,129.7595,37.781,39.2809,43.5094,50.6686,53.5021,63.795,64.9876,77.5585,66.02,72.95,77.95,84.43,89.72,96.62,108.13,120.13,132.13,2,1,4,6,1,3.2857,3.5,3.6,1.8,1.25,4.8333,4.6667,5
"6073","10006074",56.2784,61.3511,73.7362,89.9285,103.5601,113.0119,122.8666,117.2155,131.9747,33.5546,45.0143,60.8649,64.3616,80.7361,94.5614,105.8104,108.5922,120.5435,30.6999,38.5034,40.6784,47.1527,62.8814,62.7421,64.2387,76.127,69.21,73.64,81.24,85.58,93.21,99.35,108.99,121.02,134.04,2,1,2,7,1,2.7143,3.5,2.2,1,1.75,5.6,5.3333,3
"6174","10006175",51.3373,58.0521,71.7528,82.1454,94.0644,108.9103,105.2785,106.8614,118.6077,31.8881,33.8626,38.5771,64.2285,67.4624,67.3423,68.9293,71.2357,98.587,28.2281,28.8891,33.3094,37.7079,41.3326,38.7662,40.2908,44.4353,64.11,70.06,76.08,82.26,88.01,93.76,105.34,117.34,129.34,2,2,1,5,1,3.4286,3.25,3,1.8,1.75,5.3333,5.8,5
"6182","10006183",53.9226,67.103,78.2178,91.3863,99.5663,104.0672,119.7853,125.3612,145.4128,35.3555,59.0636,60.55,84.8949,84.8305,107.8623,115.7774,123.0266,126.7347,39.7123,39.4714,44.6549,45.9065,52.3298,68.4256,68.3566,77.2623,68.09,75.35,80.68,87.98,92.58,99.39,111.06,123.06,135.06,1,1,4,16,2,2.8333,3,3,2.2,1.25,5.3333,3.8333,5
"6222","10006223",51.826,63.5508,73.2085,92.2636,101.3431,110.9697,125.0982,124.5295,143.4741,36.9968,52.1964,46.136,76.7241,81.2215,101.8639,101.8057,117.3091,119.8375,29.8919,35.7445,46.9657,44.711,47.6454,52.8555,69.6878,69.6039,66.25,72.62,77.69,84.59,89.95,96.82,108.16,120.13,132.13,2,1,4,16,1,3.2857,2.5,3.8,2.2,1.25,4.1667,4.1667,6
"6234","10006235",42.8334,51.899,58.08,63.6117,73.0885,98.4618,98.106,115.4065,112.7873,21.235,32.5832,46.9641,46.3603,55.1582,68.1008,73.9019,81.0342,97.0886,22.8906,25.1552,27.6551,24.7399,34.2817,36.5489,43.7525,63.3923,65.79,72.39,79.99,84.07,89.19,95.84,108.03,120,132.03,1,3,1,4,1,2.1429,2.3333,1.6,1.25,2.3333,3.2,5,3
"6265","10006266",47.7519,75.317,76.2885,111.819,111.6201,124.9998,143.5174,136.068,147.2717,34.9948,51.1376,65.364,85.792,91.2299,100.4798,108.9874,123.0188,127.0443,42.9591,50.462,59.7072,58.4588,57.1587,78.5948,72.8883,84.1952,64.57,71.05,77.26,84.56,89.46,96.13,106.88,119.93,130.98,1,8,1,2,1,2.5714,2.5,2.2,1.6,1,4.6667,4.3333,5
"6267","10006268",69.1954,88.6643,109.1056,112.2509,114.3914,132.678,138.3791,141.7876,139.8704,67.7781,79.6645,82.0836,92.6889,98.4278,112.959,117.7604,127.3958,135.5664,43.1062,46.7446,59.2391,58.1493,69.7654,67.5506,71.8119,85.8408,70.09,76.54,82.32,88.01,93.53,99.95,110.33,122.33,136.31,1,1,4,16,1,3.7143,3.25,3.2,2,1.75,5.6667,6,8
"6294","10006295",99.2617,117.1121,113.101,123.8375,137.0948,133.1731,148.8888,148.5489,153.142,64.3385,73.2452,81.8986,96.364,110.4158,114.344,110.0583,120.7877,136.5464,43.8942,53.9361,57.3569,69.182,75.1396,78.8665,78.5687,77.0656,71.93,77.72,84.56,89.56,96.56,102.28,114.08,125.98,137.06,2,8,1,17,2,3.8571,3.75,4,1,1.25,6.5,6.1667,8
"6356","10006357",61.4133,84.1004,95.0065,112.0016,108.1426,123.3603,130.0934,141.3231,144.146,37.9198,67.3237,66.2296,79.1783,84.2358,95.7918,115.2438,127.6541,134.2544,37.9519,34.3494,46.4504,53.9913,52.1873,68.7334,72.6754,79.494,66.71,71.74,76.57,83.21,88.7,95.28,106.22,118.22,130.22,2,1,4,16,1,3.2857,3.5,3.8,1.2,2,4.8333,5.6667,5
"6367","10006368",48.6219,63.2235,68.9309,81.4652,105.1106,106.2498,108.6866,122.1522,129.9501,32.4623,53.2469,52.5519,62.7533,69.2656,88.4334,85.7373,109.3481,117.3954,21.6654,28.0187,29.2114,34.7945,49.4203,48.4124,52.8905,55.4048,71.44,77.13,82.42,88.87,94.65,100.8,112.57,124.6,136.6,2,5,2,3,1,3,3.25,2.5,1,1.25,4.5,5.5,3
"6383","10006384",49.872,66.9049,64.2779,85.0185,81.0985,92.9735,94.9662,131.8365,110.6128,28.1884,53.2445,54.9243,74.821,78.878,92.462,102.1542,120.6547,132.6432,30.1089,32.1343,38.5344,49.0286,46.6796,49.208,67.1283,64.2987,65.19,69.34,74.2,81.8,86.4,94.19,106.19,118.22,130.19,1,1,2,5,1,1.8571,3.25,2.4,1,2,2.6667,4,3
"6407","10006408",64.9513,76.4321,104.9168,111.6919,123.4967,135.5542,137.9174,152.5238,158.4363,38.955,61.2503,67.5772,81.3197,91.8229,103.4689,130.4614,132.5989,141.0447,30.6342,41.2713,45.4077,51.3215,64.9414,70.78,78.178,80.5629,70.65,74.79,82.62,86.76,91.59,98.66,111.52,123.45,135.45,2,3,2,16,1,4,3.6667,3.8,1,1.25,6.6667,6.8333,8
"6469","10006470",61.0213,63.0557,75.0518,99.6796,99.4237,106.579,126.6572,123.9619,133.1923,36.9733,47.1187,57.3076,66.1982,69.1312,86.8436,88.7001,98.9365,108.3245,30.7884,34.8232,45.9704,43.0989,48.1008,48.1349,55.5395,77.8877,63.95,68.91,73.81,80.71,85.91,92.19,103.66,114.74,127.73,2,3,1,16,2,2,2,2.2,2.6,2.25,2.5,2.6667,6
"6517","10006518",49.1712,67.3184,70.2076,96.7349,105.3995,121.4766,126.0487,122.0744,141.4002,27.7181,50.1552,57.247,88.7002,99.4304,107.5583,122.2967,133.5971,135.0612,35.9262,29.9783,34.5239,53.8332,52.8279,62.4118,82.3165,86.2815,65.95,71.87,77.42,84.46,92.05,95.8,108.76,120.79,132.72,1,1,4,17,1,3,3.5,3.4,1.2,2,4.8333,4.3333,8
"6540","10006541",53.1273,62.2835,64.1158,100.0353,115.3121,111.8356,120.8067,150.3674,147.4944,41.0391,60.4237,69.5659,81.9499,77.903,88.1376,118.2949,121.3193,131.449,34.3505,36.7079,36.9753,43.2524,50.4792,63.5082,72.1821,77.3313,61.87,66.81,73.38,79.79,85.15,91.59,103.59,115.59,126.64,2,1,2,17,1,2.5714,3.25,3,1.2,1.5,3.3333,4.3333,5
"6543","10006544",46.0658,60.1523,70.6401,107.9272,102.4165,126.0501,130.7005,142.4739,155.1547,30.907,40.8118,52.4418,82.4793,77.0891,102.1808,112.9733,123.9137,139.8627,41.4206,35.1859,50.7636,61.5932,74.2342,66.5482,85.0995,88.4615,66.44,73.05,78.41,84.99,90.51,97.41,109.22,120.26,132.23,2,7,3,10,1,2.2857,2,2.2,2.5,1.25,2.8333,2.8333,3
"6555","10006556",65.0068,67.5492,71.5364,78.249,85.0342,107.1549,132.9186,132.4776,139.3565,60.8426,59.7125,66.1851,79.1292,75.9886,102.128,109.3606,120.3328,136.0076,45.8909,41.4864,42.8763,50.229,59.615,66.8407,70.144,81.7349,60.76,64.67,70.92,77.29,81.9,90.02,99.81,113.79,125.82,2,1,1,16,1,3.2857,3.25,2.8,2,1.75,6,5.1667,8
"6568","10006569",53.7215,64.9671,84.7789,98.9437,110.3165,115.6385,117.4642,130.9306,145.428,39.7208,58.0393,71.3698,91.9279,102.9487,98.549,119.12,124.0452,136.1831,27.1227,43.8586,40.7182,47.6745,60.6751,68.878,71.978,79.2435,63.32,68.42,75.75,81.17,88.14,92.88,104.75,116.65,128.75,1,5,1,5,1,2.5714,2.75,2.6,2,1.75,5.5,4.5,3
"6603","10006604",39.813,39.4529,41.4986,52.6049,68.5082,70.7169,101.4619,118.8154,114.7261,12.4547,18.3979,31.6765,31.084,42.5396,44.4783,67.8463,89.9886,99.5626,19.9961,21.2908,24.1555,27.3327,25.7797,28.2721,41.732,46.9881,64.44,69.96,75.78,81.93,87.48,94.09,106.32,118.32,130.29,1,3,4,4,1,2.7143,3.75,4,1,2.5,3,6.25,5
"6655","10006656",48.6437,68.0043,79.3314,90.3876,100.4324,112.8005,121.4332,127.9253,146.6752,35.6404,50.0792,65.0871,70.0624,80.6355,86.2685,97.1966,120.0007,129.4118,31.6284,33.6642,37.8746,42.2616,52.4834,60.2794,64.5086,77.9996,65.19,71.47,77.46,82.68,88.96,95.31,107.08,118.13,132.1,1,2,2,17,1,2,2.25,2,2.4,2,2.1667,2,6
"6746","10006747",64.8506,70.6427,86.9616,118.501,118.4726,136.1148,133.2504,152.1587,149.1522,44.756,57.2543,65.7513,82.8637,89.9547,100.5934,113.9041,124.8113,129.0632,45.8023,53.2819,60.071,53.892,62.4156,70.7466,83.0428,88.1091,69.47,74.73,80.28,86.24,92.42,98.53,110.24,122.27,133.25,1,8,4,12,1,3.8571,3.5,3.8,1,1.25,6.6667,6.6667,5
"6759","10006760",50.4956,68.0385,72.9606,86.5123,95.5267,105.3049,111.8455,126.2358,142.3762,26.588,50.6514,49.9916,68.531,68.6587,81.2757,108.9832,119.6882,120.3746,38.3143,45.3616,56.4621,59.4268,56.3259,66.8558,75.5201,80.4649,72.62,78.61,82.78,89.65,94.92,103.04,112.6,126.51,138.58,1,5,2,16,1,3.4286,3.5,3.8,1,1,4.6667,5.3333,6
"6760","10006761",41.7725,55.646,65.0903,82.1943,85.5401,95.3079,100.9852,121.7486,115.5832,27.1235,38.7334,47.476,54.972,67.6977,70.6898,81.482,87.4587,84.4853,38.2412,39.5963,38.4699,37.6324,47.6907,56.2818,57.9878,56.5955,68.61,75.06,80.65,87.45,94.09,98.1,110.01,122.01,133.05,1,3,2,5,1,3.1429,3.25,3.2,1.4,1.25,5.5,5.8,8
"6801","10006802",50.4752,65.7213,60.9972,101.2576,105.7261,116.6201,126.3709,139.8653,152.7447,35.1106,47.884,42.6026,67.6388,70.5183,88.3959,113.5862,113.3617,121.3629,39.7537,36.7666,50.6652,52.0736,66.795,62.3363,79.8141,83.7839,70.39,76.31,80.32,87.88,93.21,100.34,112.08,124.04,136.04,1,1,4,11,1,3.1429,2.75,3,1.6,1.75,4.8333,5.4,6
"6826","10006827",40.2145,45.2749,60.5242,74.6183,85.8904,106.4249,122.9821,127.2182,133.3007,30.4434,46.2379,61.1234,79.3651,76.0629,85.8972,107.6775,121.5986,118.2249,23.1586,23.5005,37.1198,43.9463,31.6866,63.9694,73.5726,79.1766,64.37,70.42,78.41,83.44,89.69,95.28,106.49,118.55,130.55,2,3,2,3,1,3.1429,3.75,3.75,1,1.75,6.1667,5.5,1
"6849","10006850",58.1655,70.0552,78.9626,112.1068,114.9355,136.9924,140.1396,145.4861,149.6628,42.0147,56.442,62.935,85.6833,82.9297,98.6217,105.0023,113.329,122.1109,40.0868,43.9329,55.0278,55.3285,63.8526,73.6185,70.3518,80.7937,66.35,72.33,78.31,84.76,90.28,97.15,109.18,120.3,132.26,2,2,2,17,2,3,3,2.6,1.6,1,6,5.8333,8
"7046","10007047",44.189,66.3632,64.4008,92.348,86.8845,97.287,100.8281,107.2203,120.2643,29.8108,57.8396,52.2057,74.407,71.4411,89.384,103.6254,106.697,126.1235,35.6475,36.6323,48.5525,42.8068,50.909,54.3411,62.071,79.8307,67.89,74.37,79.86,86.93,92.22,98.89,109.02,122.04,134.96,2,1,1,16,1,3.2857,2.75,3,2,1,3.8333,4.4,5
